Fornavne til kvinder pr. 1. januar 2015

Navn	ANTAL
BAHAR	160
IVANA	160
NOOMI	160
SHILA	160
SONGÜL	160
AYAH	159
KIMIE	159
LUCA	159
PETREA	159
ANNETT	158
ANNICA	158
CATARINA	158
KATERINA	158
NATALI	158
ELIFE	157
GABRIELE	157
KATHERINE	157
SIGGA	157
ÖZLEM	157
ANGELICA	156
ASHA	156
GLORIA	156
SUZETTE	156
TUGBA	156
EWELINA	155
HENNI	155
RANIA	155
SANELA	155
TONNI	155
ALISA	154
ANETT	154
ANNA-SOFIE	154
HILAL	154
SIHAM	154
AMELA	153
BOZENA	153
CEMILE	153
EMMELY	153
JOYCE	153
LIANE	153
LILL	153
LOA	152
EMELIE	151
IOANA	151
KARIMA	151
MALINA	151
LUCY	150
METTE-MARIE	150
SVEA	150
LOTUS	149
SERIFE	149
TÜRKAN	149
UNA	149
CHRISTINNA	148
DOMINIKA	147
KÆTHE	147
MICHELL	147
SØRINE	147
WANDA	147
AYAN	146
BINE	146
KÜBRA	146
MARYAN	146
MEDINE	146
SAMIA	146
RIMA	145
SELIN	145
SAFA	144
AIA	143
DILAN	143
HILDEGARD	143
KATHRIN	143
MA	143
NATHJA	143
TORA	143
TURID	143
VESNA	143
ALEYNA	142
BRITHA	142
OFELIA	142
SENADA	142
ALAA	141
DONNA	141
EILEEN	141
EKATERINA	141
HANIN	141
IEVA	141
MIKA	141
RAMONA	141
EDDA	140
EDITA	140
WIKTORIA	140
ADDA	139
ALVILDA	139
FILIZ	139
SHARON	139
SUMAYA	139
SVITLANA	139
FARIDA	138
FRANCESCA	138
MARZENA	138
MIRELA	138
BENNY	137
BETINNA	137
MARY-ANN	137
MATILDA	137
NETHE	137
THUY	137
AJLA	136
HANNELORE	136
HANSINE	136
NETTE	136
ZAHRAA	136
HALA	135
JANNA	135
SABRINE	135
SAIDA	134
ABIR	133
AYLA	133
AYNUR	133
DEBORAH	133
ELHAM	133
FATEMA	133
GALINA	133
KIRSA	133
VIOLETA	133
CARIN	132
GITA	132
IVY	132
KATIA	132
MERRY	132
NATALIIA	132
SAIMA	132
SHAZIA	132
URSZULA	132
AURA	131
DANIA	131
ELLIE	131
MARI-ANN	131
NASRIN	131
NATHASJA	131
ZUZANNA	131
CAROLA	130
IREM	130
ROSALINA	130
TETIANA	130
CATALINA	129
GABRIELLE	129
KINGA	129
LEISE	129
NATHALI	129
WENCHE	129
ANN-KATRINE	128
EVELINA	128
HEBA	128
LILIANA	128
NATHALIA	128
SAMAR	128
SIGRUN	128
SOUAD	128
VIKTORIJA	128
BENTA	127
LATIFA	127
LI	127
PAMELA	127
CAYA	126
EDIT	126
GLENNIE	126
NORAH	126
SEVGI	126
AGATHE	125
HEDDA	125
ISOLDE	125
KIRSTIN	125
MARGARITA	125
MAUD	125
NGOC	125
ROBERTA	125
DESIREE	124
GLADYS	124
BENDTE	123
CAMILA	123
DINAH	123
HILDUR	123
MICHA	123
PI	123
VILJA	123
ZELINA	123
AMRA	122
MERAL	122
SALWA	122
SYNNØVE	122
UTE	122
VIDA	122
YASMINA	122
ALISHA	120
ASIA	120
AYSEL	120
FRANZISKA	120
MAJBRITH	120
RENÉE	120
SADAF	120
SILA	120
AHLAM	119
BERFIN	119
MARTYNA	119
MIRANDA	119
SUS	119
ANNE-BIRGITTE	118
ANNELIE	118
BRITH	118
