Fornavne til mænd pr. 1. januar 2015

Navn	ANTAL
MANUEL	252
KHALIL	251
CONSTANTIN	250
HACI	249
SLAWOMIR	249
JOE	248
MIHAI	248
DAWID	247
JOHNNIE	246
MUSA	246
	246
JIMMIE	245
ADEL	244
NOAM	244
JENS-CHRISTIAN	243
MAXIMILIAN	243
ZBIGNIEW	243
JÜRGEN	242
JOHNY	241
NIELS-HENRIK	241
HARIS	239
REGNAR	239
SCOTT	238
MANFRED	236
MARIAN	235
NIKI	235
NICKOLAJ	234
LEANDER	233
ZAKARIAS	233
NICKOLAI	232
AGNER	231
NABIL	231
OSVALD	231
EDIN	229
HADI	229
HUBERT	229
MARCK	229
MICAS	229
WOLFGANG	229
ISMET	228
MIKI	228
EIVIND	226
BALDER	225
MEHDI	225
METIN	225
OMER	225
TERKEL	225
VLADIMIR	225
EMANUEL	224
IMRAN	224
ROALD	224
EMMANUEL	222
BØJE	221
INGVARD	220
PRZEMYSLAW	220
FRANTZ	219
TIMOTHY	219
ÅGE	219
ORHAN	218
RENÈ	217
THANH	217
REZA	216
EMIN	213
MORGAN	213
SIGFRED	213
FIN	212
KAMAL	212
RAYMOND	212
ROBERTO	212
SINAN	212
WILLADS	212
ARNO	210
FLORIN	210
FRANCESCO	210
KARL-EMIL	210
ARLY	209
ARMIN	209
EDVIN	209
HUSSAIN	207
ARKADIUSZ	206
MATTIS	206
HERMANN	205
HJALMAR	205
MUHAMED	205
TJALFE	205
TORBJØRN	205
ABDALLAH	204
BAYRAM	203
KUNO	203
TORKIL	203
DOMINIK	202
JACQUES	202
SALAH	202
ILYAS	201
SVEN-ERIK	201
NIKKI	200
SONNI	200
ASKER	199
ROY	199
FRANTS	198
HARTVIG	197
BERND	195
BROR	195
NILAS	195
ROGER	195
ESPEN	194
IONUT	194
KJELL	194
TAIS	194
JERRY	193
ABDEL	192
BOB	192
FERHAT	192
FRANCISCO	192
LYNGE	192
ROMEO	192
SEJR	192
SVEND-AAGE	192
TARIK	192
ELLIOTT	191
GÜNTHER	191
BURAK	190
GUDMUND	190
NIKOLA	190
BENNI	189
PEDRO	189
AMER	188
KJARTAN	188
ZORAN	188
DANN	187
EIK	187
YAHYA	187
MIROSLAW	186
THØGER	186
VILLAS	186
ELVIN	185
FLORIAN	185
JENS-PETER	185
KADIR	185
SALIH	185
FADI	184
MOSTAFA	184
SAAD	184
SNORRE	184
EDMUND	183
MERT	183
WILLUM	183
AYMAN	182
COLIN	182
MATS	182
EJLIF	181
LEONARDO	181
MAHMUT	181
EMILIO	180
FAISAL	180
THORBEN	180
YASSIN	180
ERWIN	179
JASMIN	179
JEFFREY	179
PATRYK	179
BERAT	178
IMAD	178
KAROL	178
GORAN	177
MAJID	177
NOEL	177
THAIS	177
ISA	176
TAREK	176
VOLODYMYR	176
ALAA	175
EGIL	175
GILBERT	174
JORGE	174
RAFAEL	174
YAKUP	174
ERVIN	173
JENS-OLE	173
MUSTAPHA	173
SENAD	173
ALEN	171
AMAR	171
AZAD	171
INGVAR	171
PHILIPPE	171
ANDREA	170
HORST	170
PABLO	170
SALIM	170
SVENNING	170
DIETER	169
BEKIR	168
DMYTRO	168
FILLIP	168
MIKA	168
FARHAD	167
FREDERICK	167
HAKON	167
JARI	167
SAMER	167
THORE	167
WILLI	167
ALBERTO	166
BARTOSZ	166
DIRK	166
FIRAT	166
HARUN	166
KACPER	166
MALEK	166
MINH	166
SAYED	166
STEVE	166
EDGAR	165
ERKAN	164
SALEH	164
STANISLAW	164
FURKAN	163
VISTI	163
DRAGAN	162
HARLY	162
MATTEO	162
NIELS-CHRISTIAN	162
NOHR	162
SERKAN	162
ASLAK	161
EILIF	161
HANS-PETER	161
JERZY	161
JOEN	161
MIKKI	161
NORBERT	161
ADIL	160
ELVIS	160
FRANCK	160
MATHIS	160
TIMO	160
DINO	159
FRANCIS	158
IRFAN	158
JIMI	158
MINGUS	157
MIRZA	157
RICCO	157
DIEGO	156
LEVI	156
RUD	156
SÜLEYMAN	156
RUDY	155
SEJER	155
ALESSANDRO	154
DEJAN	154
GIUSEPPE	154
GORDON	154
HELMUT	154
JANNICH	154
JANUSZ	154
NIELS-PETER	154
GEORGIOS	153
LEONARD	153
ZILAS	153
SZYMON	152
AARON	151
ANDRII	151
MAHAMED	151
STEFANO	151
CARL-JOHAN	150
GIOVANNI	150
LUKE	150
RAGNAR	150
SIXTEN	150
FERDINAND	149
HOSSEIN	149
KENTH	149
MIRSAD	149
NASER	149
RACHID	149
BJÖRN	147
NELS	147
PIET	147
AZIZ	146
EYVIND	146
MD	146
BEN	145
IOAN	145
EDUARD	144
JANICK	144
NGOC	144
MINDAUGAS	143
OMID	143
SHAWN	143
THOBIAS	143
ALEXANDRE	142
ALIREZA	142
BILLY	142
CALLE	142
NATHAN	142
NORMAN	142
CEMAL	141
FARID	141
KNUT	141
TEODOR	141
ISSA	140
RADOSLAW	140
TIMM	139
WILFRED	139
ANDI	138
BURHAN	138
CHANO	138
JAMIL	138
THORLEIF	138
AYHAN	137
CHRISTOPH	137
DINES	137
ERICH	137
INGO	137
MAHER	137
OSAMA	137
REGIN	137
VASILE	137
FERNANDO	136
FARUK	135
JOEY	135
KEITH	135
SAMMY	135
DAMIR	134
DONALD	134
HAMED	134
HENDRIK	134
LORENZ	134
MILAD	134
OLIVIER	134
AMMAR	133
BUE	133
DARIUS	133
GEORGI	133
HEINI	133
LUDWIG	133
ABDULRAHMAN	132
ARIF	132
BOJE	132
CLIFF	132
JUST	132
RYSZARD	132
ANGELO	131
CARL-ERIK	131
HAIDAR	131
MIRAN	131
TYGE	131
EJGILD	130
JEREMY	130
KETIL	130
MOHSEN	130
NASSER	130
SERGII	130
TAHIR	130
GHEORGHE	129
ILIAS	129
RICARDO	129
BÜLENT	128
ENVER	128
ERHARDT	128
EROL	128
FREY	128
KENNIE	128
RAINER	128
SAEED	128
SVERRE	128
YILMAZ	128
FOLKE	127
GHULAM	127
ALMIR	126
CLAUDIO	126
HILMAR	126
KERIM	126
KEWIN	126
PHILIPP	126
DIRCH	125
EREN	125
JALAL	125
MESUT	125
PASCAL	125
RENO	125
TADEUSZ	125
ASIM	124
CHRISTER	124
ERDAL	124
HAYDAR	124
NEIL	124
REGNER	124
SADIK	124
SVENN	124
TAHA	124
ADMIR	123
ANDRIUS	123
ATTILA	123
BJARNI	123
DANIAL	123
DOGAN	123
ERCAN	123
GERD	123
MATHIES	123
MEHMED	123
CENGIZ	122
CLEMENT	122
JÓN	122
ONUR	122
STANLEY	122
TIMMI	122
USMAN	122
BASSAM	121
LARS-ERIK	121
LESLIE	121
MIROSLAV	121
NIELS-OLE	121
RAJA	121
ZIAD	121
ARILD	120
EKREM	120
MASOUD	120
OLEG	120
RASHID	120
ANWAR	119
ARIAN	119
HANI	119
PETAR	119
TERJE	119
YASAR	119
HAIDER	118
ION	117
JOZEF	117
MAKSYM	117
ADIS	116
FREDDI	116
GARY	116
JOSÉ	116
KEAN	116
PAVEL	116
QUOC	116
CAN	115
GÖKHAN	115
KONSTANTINOS	115
BARIS	114
JAWAD	114
MARTINUS	114
PAOLO	114
REMI	114
ARASH	113
ARDA	113
KRYSTIAN	113
BARTLOMIEJ	112
CIHAN	112
FALKE	112
INGEMANN	112
NICOLAE	112
RECEP	112
SERHAT	112
TOMMAS	112
WIKTOR	112
EDWIN	111
KELVIN	111
NIMA	111
ØJVIND	111
IOANNIS	110
MAHAD	110
MIKAL	110
EINER	109
HOANG	109
NERMIN	109
VALTER	109
HANS-JØRN	108
HENRYK	108
ILHAN	108
SERGIO	108
ABDULKADIR	107
CALVIN	107
HÅKON	107
ISAC	107
JENS-JØRGEN	107
MIKLAS	107
SEAD	107
TARIQ	107
ADOLF	106
AYUB	106
BASHIR	106
BOBBY	106
CILAS	106
DOMINIC	106
KONSTANTIN	106
MUHAMMET	106
SAIF	106
CAI	105
CATALIN	105
DAG	105
FOUAD	105
FREDERIC	105
JESSE	105
LAUS	105
AYOUB	104
BÜNYAMIN	104
EMRAH	104
ENGIN	104
HAAKON	104
IDRIS	104
SAMET	104
SELIM	104
VALTHER	104
WAEL	104
YASSER	104
BENDIX	103
EDDY	103
FINI	103
HABIB	103
LESZEK	103
NASIR	103
RADU	103
SEVERIN	103
UGUR	103
UMAR	103
VALDE	103
WIESLAW	103
BENYAMIN	102
JIHAD	102
JOSVA	102
MARWAN	102
VOLKAN	102
JAIS	101
THURE	101
UMUT	101
EFE	100
LARS-BO	100
ALEJANDRO	99
ANTONI	99
DIMITRIOS	99
EDUARDO	99
GREGORY	99
HEKTOR	99
JANIS	99
MAXIMILLIAN	99
NADER	99
BERNARD	98
GHASSAN	98
KEREM	98
MELVIN	98
NICKOLAS	98
QUANG	98
RIKARD	98
SHAHID	98
SKJOLD	98
EL	97
LEE	97
MICHELE	97
ODIN	97
PAULO	97
ZAIN	97
GERHARDT	96
MANTAS	96
NIKOLAY	96
SAFET	96
SALMAN	96
SALVATORE	96
SORIN	96
ALDIN	95
ARN	95
ARNT	95
ARTEM	95
ASAD	95
BENN	95
CHARLY	95
FABIO	95
GÜNTER	95
LARS-HENRIK	95
LENNARTH	95
LIBAN	95
MOUSSA	95
SERDAR	95
SHANE	95
ARI	94
CHRISTOPHE	94
IHSAN	94
ISHAK	94
MOHAMUD	94
NOOR	94
ALEKS	93
BRYAN	93
DUC	93
ISSAM	93
IULIAN	93
MARLEY	93
NIKOLAOS	93
RAHIM	93
SELCUK	93
VLAD	93
ABEL	92
AMJAD	92
ANDREJ	92
ANDRES	92
FIKRET	92
LEAN	92
STUART	92
YANNICK	92
DANI	91
DOUGLAS	91
HICHAM	91
KAMRAN	91
MILTON	91
ZELJKO	91
ENRICO	90
ERHAN	90
LENNARD	90
NADEEM	90
RASIM	90
TEIT	90
VITO	90
YASIR	90
ØYVIND	90
ALBIN	89
BARAN	89
BILLE	89
BJERNE	89
DEREK	89
FRIEDRICH	89
KRISTJAN	89
LENNERT	89
MATIN	89
NURI	89
STINUS	89
YOSEF	89
ABRAHAM	88
ARMAN	88
DIMITAR	88
EMAD	88
ISTVAN	88
KLAES	88
LORENZO	88
LUCIAN	88
MARCELL	88
RUMLE	88
TUAN	88
ZOLTAN	88
AKRAM	87
ERHARD	87
JAVIER	87
KARL-JOHAN	87
KEVEN	87
MATEO	87
PETUR	87
SALEM	87
TEJS	87
WISSAM	87
ØMER	87
ASLAN	86
EJVIN	86
NATHANIEL	86
PETTER	86
RAMADAN	86
VILLE	86
ANES	85
DUMITRU	85
HANS-OLE	85
KARL-ERIK	85
MICKY	85
PETRU	85
TIMMY	85
VILMER	85
WILLAS	85
ELVIR	84
HUSSAM	84
KASIM	84
PIETER	84
SASA	84
FIRAS	83
JAIME	83
MICHELL	83
OKAN	83
SAHIN	83
AMEL	82
ENIS	82
FADIL	82
GEIR	82
JENS-HENRIK	82
MAXIM	82
NORMANN	82
ODD	82
VITALII	82
WAGN	82
CARL-CHRISTIAN	81
CELAL	81
CEM	81
CIPRIAN	81
DARIO	81
ESAD	81
