Fornavne til mænd pr. 1. januar 2013

Navn	ANTAL
BEKIR	164
FIRAT	164
ILYAS	164
MARIAN	164
SNORRE	164
YAHYA	164
FLORIAN	163
MOSTAFA	163
NIELS-CHRISTIAN	163
EIK	162
FRANCESCO	162
FRANCK	162
RUDY	162
STEVE	162
YAKUP	162
ERKAN	161
VISTI	161
FAISAL	160
IMAD	160
NOAM	160
SERKAN	160
SÜLEYMAN	160
EYVIND	159
PEDRO	159
ROMEO	159
SALIM	159
COLIN	158
AMAR	157
HARUN	157
HELMUT	157
MIKKI	157
TAREK	157
YASSIN	157
FURKAN	156
JANNICH	156
JIMI	156
MAJID	156
FILLIP	155
GILBERT	155
JERZY	155
RICCO	155
RUD	155
VOLODYMYR	155
ASLAK	154
DOMINIK	154
DRAGAN	154
MIKA	154
GORDON	153
MIRSAD	153
NIELS-PETER	153
SEJR	153
ADIL	151
DINO	151
EDGAR	151
FREDERICK	151
KENTH	151
NOEL	151
ALBERTO	150
AYMAN	150
FADI	150
FRANCIS	150
RAFAEL	150
ISA	149
MIRZA	149
NGOC	149
SALEH	149
SERGII	149
EMILIO	148
FLORIN	148
MATHIS	148
PIET	148
STANISLAW	148
DMYTRO	147
NELS	147
TIMO	147
CARL-JOHAN	146
ERICH	146
DEJAN	145
ELVIS	145
AZIZ	144
BEN	144
EJGILD	144
IRFAN	144
JORGE	144
KNUT	144
LORENZ	144
PATRYK	144
DONALD	143
FARHAD	143
JANICK	143
RAGNAR	143
SAYED	143
JANUSZ	142
PABLO	142
RACHID	141
BARTOSZ	140
BJÖRN	140
CHANO	140
LEONARDO	140
MAHAMED	140
TIMM	140
BERAT	139
DIEGO	139
ERHARDT	139
SIXTEN	139
VILLAS	139
CEMAL	138
THORLEIF	138
ELLIOTT	137
GIOVANNI	137
KAROL	137
NORBERT	137
REGIN	137
ALAA	136
CARL-ERIK	136
HILMAR	136
NASER	136
NORMAN	136
BILLY	135
HEINI	135
HOSSEIN	135
INGO	135
LEONARD	135
SEJER	135
THOBIAS	135
AARON	134
BOJE	134
NOR	134
RAINER	134
TYGE	134
YILMAZ	134
ZILAS	134
ALEXANDRE	133
BUE	133
FARUK	133
FERDINAND	133
HENDRIK	133
CHRISTOPH	132
KACPER	132
SAMMY	132
SVENN	132
ANDI	131
ARIF	131
DAMIR	131
INGEMANN	131
KEITH	131
KENNIE	131
BURHAN	130
BÜLENT	130
JUST	130
NASSER	130
CALLE	129
DINES	129
KETIL	129
REGNER	129
CLIFF	128
FARID	128
MATTEO	128
SADIK	128
AYHAN	127
AZAD	127
ENVER	127
GERD	127
MINGUS	127
RENO	127
CENGIZ	126
KEWIN	126
